gen;0,3;0,5;0,8
0;304;524;804
1;332;262;9
2;303;226;6
3;316;229;5
4;337;216;3
5;273;201;2
6;307;173;0
7;215;193;0
8;223;160;0
9;227;155;0
10;204;151;0
11;207;143;0
12;223;131;0
13;227;123;0
14;232;116;0
15;252;131;0
16;237;131;0
17;215;126;0
18;186;120;0
19;187;101;0
20;174;106;0
21;167;98;0
22;173;81;0
23;154;80;0
24;172;81;0
25;167;73;0
26;168;80;0
27;179;81;0
28;186;86;0
29;145;84;0
30;151;87;0
31;158;80;0
32;169;83;0
33;164;89;0
34;161;90;0
35;157;89;0
36;161;92;0
37;158;87;0
38;150;79;0
39;136;72;0
40;140;65;0
41;138;68;0
42;119;69;0
43;138;68;0
44;121;84;0
45;121;58;0
46;119;61;0
47;130;59;0
48;135;53;0
49;114;48;0
50;124;45;0
51;105;53;0
52;86;52;0
53;91;51;0
54;86;57;0
55;96;55;0
56;82;53;0
57;88;58;0
58;93;53;0
59;95;51;0
60;89;54;0
61;98;52;0
62;110;62;0
63;117;56;0
64;116;64;0
65;99;59;0
66;91;74;0
67;104;69;0
68;83;71;0
69;85;81;0
70;83;75;0
71;83;79;0
72;86;68;0
73;90;76;0
74;94;64;0
75;98;70;0
76;95;66;0
77;106;64;0
78;112;60;0
79;98;53;0
80;104;47;0
81;97;41;0
82;100;40;0
83;95;41;0
84;93;42;0
85;76;48;0
86;73;47;0
87;70;47;0
88;70;49;0
89;73;45;0
90;76;51;0
91;77;48;0
92;76;56;0
93;84;46;0
94;78;45;0
95;78;48;0
96;70;51;0
97;69;54;0
98;83;54;0
99;80;51;0
